row_key,rel_qwen
0,1
1,1
2,1
3,1
4,1
5,1
6,1
9,1
10,1
11,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,1
23,1
24,1
26,1
28,1
29,1
33,1
34,1
36,1
37,1
38,1
39,1
40,1
42,0
43,0
44,0
45,1
47,1
48,1
49,1
50,0
52,0
53,0
54,1
55,1
56,1
59,1
60,1
61,1
62,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
74,1
75,1
76,1
77,1
79,1
80,1
81,1
82,1
83,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
96,1
97,1
99,1
100,1
101,1
102,1
103,1
104,1
106,1
107,1
108,1
109,1
111,1
112,1
113,1
114,1
116,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
128,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
138,1
139,1
140,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
160,1
161,1
162,1
164,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
198,1
199,1
201,1
202,1
203,1
205,1
207,1
208,1
210,1
211,0
212,1
213,1
214,1
216,1
220,1
222,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
237,1
238,1
241,0
242,1
243,1
244,1
246,1
247,1
249,1
250,1
251,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
262,1
263,1
264,1
265,1
266,1
267,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,0
298,1
299,1
300,1
301,1
302,1
307,1
309,1
311,1
312,1
315,1
316,1
318,1
321,1
323,1
324,1
325,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
338,0
339,1
342,0
343,1
344,0
345,1
347,1
349,1
351,1
352,1
353,1
354,1
356,1
357,1
358,1
361,1
362,1
364,1
366,0
368,1
369,0
379,1
380,1
381,1
382,1
388,1
391,1
392,1
393,1
394,1
396,1
399,1
401,1
402,1
406,1
407,1
408,1
409,1
410,1
412,1
414,0
417,1
418,1
420,1
423,0
426,1
429,1
436,1
437,0
440,1
441,1
442,1
444,1
445,1
448,1
449,0
451,1
452,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
465,1
466,1
469,1
470,1
473,1
474,1
475,0
480,1
481,1
482,1
485,1
489,1
491,1
492,1
494,1
495,1
496,1
497,1
498,1
500,1
501,1
504,1
506,1
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
528,1
529,1
530,0
531,1
532,1
533,1
535,1
541,1
543,0
545,1
546,1
547,1
548,1
550,1
551,1
552,0
553,1
554,1
557,1
560,1
564,1
565,1
570,1
571,1
573,0
574,1
576,1
578,1
580,1
582,0
583,1
584,0
585,1
586,1
597,0
598,1
601,1
604,1
605,0
606,1
609,0
611,1
614,1
617,1
618,1
619,1
627,1
628,1
629,1
634,1
635,1
636,0
637,1
640,1
642,1
643,1
644,1
645,0
646,1
649,1
650,1
653,1
654,1
657,1
658,1
659,1
660,1
661,1
662,1
663,0
666,1
672,1
673,1
675,1
676,1
681,1
682,1
684,1
685,1
688,1
695,1
696,1
698,0
703,0
704,1
706,0
709,1
710,1
715,0
716,1
717,1
718,1
719,1
720,1
722,0
723,1
728,1
730,1
731,0
734,1
736,1
738,1
739,1
740,1
742,1
743,1
744,1
745,1
747,1
749,1
750,1
751,1
754,1
755,1
757,1
759,1
764,1
767,0
768,1
769,1
772,1
773,1
774,0
775,1
776,1
780,1
781,0
782,1
783,0
787,1
789,1
790,1
792,0
795,1
798,0
801,1
803,0
805,1
808,0
810,1
811,0
812,0
816,1
817,1
818,1
819,1
825,1
826,1
827,1
829,1
830,1
832,0
833,1
835,1
836,1
837,1
838,0
841,1
843,1
844,1
847,1
849,1
850,1
851,1
852,1
853,1
856,1
857,1
858,0
862,1
865,1
875,0
876,0
877,1
880,1
882,1
883,1
884,0
885,1
888,1
889,1
890,1
891,1
892,0
895,0
897,1
898,1
900,0
904,1
907,1
908,1
909,1
911,1
912,1
914,1
917,1
918,1
919,1
923,1
926,0
927,1
929,1
930,0
935,0
936,1
937,1
940,1
942,1
943,1
945,1
948,1
950,1
951,1
953,1
954,1
955,1
958,1
960,1
961,1
963,1
964,1
965,1
966,1
968,1
973,1
974,1
976,1
977,1
978,1
979,1
980,1
981,1
983,1
986,1
987,0
989,1
991,1
992,1
995,1
997,1
998,1
1000,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1011,1
1014,1
1015,1
1016,1
1024,1
1026,1
1028,1
1029,1
1030,0
1032,0
1034,1
1037,1
1038,1
1041,1
1045,1
1046,1
1049,0
1050,1
1052,0
1053,1
1056,1
1057,1
1059,1
1060,0
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,1
1071,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1085,1
1086,1
1087,1
1090,1
1091,1
1094,1
1095,1
1096,1
1097,1
1099,1
1100,1
1103,1
1105,1
1106,0
1107,1
1110,1
1111,1
1119,1
1120,1
1121,0
1123,1
1128,1
1130,1
1132,1
1133,1
1136,1
1139,0
1142,0
1145,1
1148,1
1150,0
1151,1
1153,1
1154,0
1155,1
1156,1
1157,1
1159,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1171,1
1173,0
1174,1
1175,1
1176,1
1179,1
1180,1
1182,1
1184,0
1185,0
1186,1
1187,0
1188,1
1190,1
1195,1
1199,1
1200,1
1201,1
1202,1
1204,1
1205,1
1207,1
1211,1
1214,1
1216,1
1218,1
1220,1
1221,1
1223,1
1225,1
1227,1
1228,1
1229,0
1230,1
1232,1
1233,1
1234,1
1239,1
1240,1
1243,1
1246,1
1250,1
1251,1
1252,1
1253,1
1254,1
1256,1
1257,1
1258,1
1259,1
1261,1
1264,1
1265,1
1267,1
1268,1
1270,1
1271,1
1273,1
1274,1
1275,1
1277,1
1278,1
1282,1
1283,1
1285,1
1288,1
1289,1
