Search,Sampler Seed,Best Trial,Validation MSE,Lookback,Units,Dropout,Learning Rate,Batch,Optimizer,Epochs
1,30042,71,0.0023066350258886814,13,8,0.40237677659992965,0.0003320525544879616,8,RMSprop,70
2,30142,57,0.0018178049940615892,13,8,0.42514955153515543,0.0004462648870302559,8,Adam,114
3,30242,12,0.002044809516519308,13,32,0.23198878023541245,0.0009387187130841223,8,Adam,28
4,30342,58,0.0021762887481600046,13,8,0.3920642444761263,0.00016598276764292724,8,RMSprop,150
5,30442,22,0.002563242567703128,4,16,0.44764616019022474,0.0002879993901064388,16,RMSprop,90
6,30542,68,0.0026843599043786526,4,8,0.4387265690647816,0.0009392119283077537,8,RMSprop,42
7,30642,73,0.0016084712697193027,13,8,0.25890829600776727,0.00030130374948280004,8,RMSprop,78
8,30742,70,0.0021105939522385597,13,32,0.38762687583024186,0.000875551822690385,8,Adam,22
9,30842,15,0.0026074436027556658,4,16,0.43954557504556774,0.000350362699921007,8,Adam,114
10,30942,20,0.0017364154336974025,13,8,0.1453215610747862,0.00044675642786693625,8,Adam,67
11,31042,23,0.0017897377256304026,13,8,0.40900569093007055,0.0005172728462455293,8,RMSprop,38
12,31142,49,0.0017067362787202,13,16,0.3884027230409628,0.0005688471905372607,16,RMSprop,66
13,31242,35,0.002365747233852744,13,8,0.40548907372857834,0.0009865400990015135,8,RMSprop,54
14,31342,57,0.0017598011763766408,13,8,0.4065819658572181,0.0008024872406076412,8,RMSprop,40
15,31442,67,0.002561344765126705,13,16,0.43635840939112175,0.000998230194546939,8,RMSprop,55
16,31542,15,0.0025447141379117966,8,16,0.40047461722120314,0.0009412256209571432,8,Adam,48
17,31642,56,0.002298192586749792,13,32,0.36142434592946876,0.0005670228232952138,8,Adam,29
18,31742,32,0.001973360078409314,13,32,0.39141716366665086,0.00024216730591673885,8,RMSprop,46
19,31842,58,0.0024022734723985195,4,8,0.43900633060926625,0.0009096544992525948,8,RMSprop,32
20,31942,70,0.0026232304517179728,13,16,0.29807022657091425,0.00041470926959793754,8,RMSprop,70
