number,value,datetime_start,datetime_complete,duration,params_batch,params_dropout,params_lookback,params_lr,params_optimizer,params_units,user_attrs_epochs,state
0,0.006258341949433088,2026-08-06 05:54:18.317669,2026-08-06 05:54:22.244729,0 days 00:00:03.927060,16,0.386817154696423,4,0.00033676551942633614,Adam,32,49,COMPLETE
1,0.004476168658584356,2026-08-06 05:54:22.248863,2026-08-06 05:54:29.051776,0 days 00:00:06.802913,8,0.19245754664768944,13,0.00011792076773183868,RMSprop,16,86,COMPLETE
2,0.006825742311775684,2026-08-06 05:54:29.052170,2026-08-06 05:54:38.977812,0 days 00:00:09.925642,8,0.3667737013710946,13,0.00018188941149100627,Adam,8,147,COMPLETE
3,0.011701645329594612,2026-08-06 05:54:38.978248,2026-08-06 05:54:41.904187,0 days 00:00:02.925939,16,0.23539658163859117,4,0.00014955852481230515,RMSprop,32,44,COMPLETE
4,0.005040996707975864,2026-08-06 05:54:41.904564,2026-08-06 05:54:46.797621,0 days 00:00:04.893057,16,0.17720256847007076,4,0.0007294901338252497,Adam,8,104,COMPLETE
5,0.013896248303353786,2026-08-06 05:54:46.798047,2026-08-06 05:54:50.244973,0 days 00:00:03.446926,8,0.1134848520166136,8,0.0001320349784963794,Adam,32,32,COMPLETE
6,0.016850171610713005,2026-08-06 05:54:50.245354,2026-08-06 05:54:54.760914,0 days 00:00:04.515560,16,0.31344006016942677,13,0.00031508423717365895,RMSprop,32,82,COMPLETE
7,0.004295562393963337,2026-08-06 05:54:54.761465,2026-08-06 05:55:03.044911,0 days 00:00:08.283446,8,0.20022950237733167,4,0.00022036150875244658,RMSprop,8,150,COMPLETE
8,0.005145723465830088,2026-08-06 05:55:03.045567,2026-08-06 05:55:09.025306,0 days 00:00:05.979739,16,0.1395046083115312,13,0.0002342595365019961,Adam,16,117,COMPLETE
9,0.004493586719036102,2026-08-06 05:55:09.025699,2026-08-06 05:55:13.950827,0 days 00:00:04.925128,8,0.4189816646684534,4,0.00017615656678264302,Adam,16,60,COMPLETE
10,0.007713361643254757,2026-08-06 05:55:13.951186,2026-08-06 05:55:17.403363,0 days 00:00:03.452177,8,0.2851442318175157,8,0.0006036355863212891,RMSprop,8,32,COMPLETE
11,0.00909545086324215,2026-08-06 05:55:17.403732,2026-08-06 05:55:26.007811,0 days 00:00:08.604079,8,0.206407113673736,13,0.00010348976535520903,RMSprop,16,132,COMPLETE
12,0.013136755675077438,2026-08-06 05:55:26.008165,2026-08-06 05:55:29.662779,0 days 00:00:03.654614,8,0.24271738739273194,13,0.0001019613787141466,RMSprop,16,38,COMPLETE
